time,ARROBS_HEAD_K:2_I:2_J:15,ARROBS_HEAD_K:2_I:2_J:9,ARROBS_HEAD_K:2_I:3_J:8,ARROBS_HEAD_K:2_I:9_J:1,ARROBS_HEAD_K:2_I:13_J:10,ARROBS_HEAD_K:2_I:15_J:16,ARROBS_HEAD_K:2_I:21_J:10,ARROBS_HEAD_K:2_I:22_J:15,ARROBS_HEAD_K:2_I:24_J:4,ARROBS_HEAD_K:2_I:26_J:6,ARROBS_HEAD_K:2_I:29_J:15,ARROBS_HEAD_K:2_I:33_J:7,ARROBS_HEAD_K:2_I:34_J:10,ARROBS_HEAD_K:0_I:2_J:15,ARROBS_HEAD_K:0_I:2_J:9,ARROBS_HEAD_K:0_I:3_J:8,ARROBS_HEAD_K:0_I:9_J:1,ARROBS_HEAD_K:0_I:13_J:10,ARROBS_HEAD_K:0_I:15_J:16,ARROBS_HEAD_K:0_I:21_J:10,ARROBS_HEAD_K:0_I:22_J:15,ARROBS_HEAD_K:0_I:24_J:4,ARROBS_HEAD_K:0_I:26_J:6,ARROBS_HEAD_K:0_I:29_J:15,ARROBS_HEAD_K:0_I:33_J:7,ARROBS_HEAD_K:0_I:34_J:10
10000.00000000,34.54895477,34.89432164,34.93748076,35.31122703,34.50943653,34.33844093,34.39265657,34.21795228,34.63325437,34.46126114,34.11391542,34.19361567,34.06381262,34.47285701,34.90171158,34.94492167,35.31906328,34.51651313,34.34479482,34.39973539,34.15877680,34.64058054,34.46839129,34.05838016,34.20054741,34.07066868
10031.00000000,34.63842374,35.00864684,35.05367724,35.43423115,34.61822042,34.43212934,34.50155168,34.30748033,34.75351341,34.57754165,34.20023132,34.29489769,34.15531446,34.55026234,35.01664487,35.06164538,35.44215212,34.62616848,34.43969517,34.50947542,34.23695428,34.76125984,34.58527241,34.13409887,34.30293418,34.16359861
10060.00000000,34.78339083,35.20464070,35.25458018,35.66251824,34.79669424,34.58193828,34.68111666,34.45083807,34.96140363,34.77424414,34.33616511,34.45841114,34.29890218,34.67507949,35.21376561,35.26357305,35.67076417,34.80613801,34.59120448,34.69049948,34.36156280,34.97005560,34.78310682,34.25280566,34.46817626,34.30925077
10091.00000000,34.95732418,35.45112197,35.50892596,35.96823414,35.01165473,34.75809061,34.89720378,34.61891904,35.22346686,35.01684745,34.49277612,34.65149166,34.46417991,34.82435635,35.46173002,35.51932228,35.97718732,35.02293309,34.76910439,34.90841929,34.50718858,35.23349125,35.02728719,34.38909588,34.66324109,34.47671415
10121.00000000,35.09887008,35.66269797,35.72887843,36.24980561,35.18599620,34.89664044,35.07154126,34.75019656,35.44765964,35.21876913,34.61233245,34.80413318,34.59051786,34.94545522,35.67461756,35.74056297,36.25965478,35.19876761,34.90878199,35.08428290,34.62060794,35.45905543,35.23066868,34.49280701,34.81738136,34.60452536
10152.00000000,35.17495992,35.79160044,35.86490243,36.44632476,35.27760652,34.96336077,35.16125968,34.81162545,35.58141364,35.33168232,34.66443332,34.87933329,34.64699354,35.01000143,35.80438407,35.87749214,36.45715576,35.29117401,34.97573697,35.17484880,34.67325411,35.59389401,35.34458998,34.53759441,34.89321616,34.66139075
10182.00000000,35.15872372,35.79337712,35.87042893,36.49416381,35.25478218,34.93563457,35.13559545,34.78285764,35.57921087,35.31672729,34.63187890,34.84992431,34.61291163,34.99509568,35.80627103,35.88323369,36.50574481,35.26811286,34.94726961,35.14898131,34.64756820,35.59208712,35.32979870,34.50854422,34.86329854,34.62638022
10213.00000000,35.05118832,35.66492818,35.74141840,36.37877405,35.11836366,34.81528551,34.99546544,34.66565923,35.43672407,35.17211497,34.51702170,34.71814308,34.49202889,34.90188560,35.67713077,35.75366952,36.39074693,35.13048862,34.82533331,35.00768019,34.54540693,35.44923502,35.18448420,34.40804188,34.72997276,34.50348378
10244.00000000,34.88318076,35.44181084,35.51342023,36.13115885,34.90709317,34.63696757,34.78037292,34.49364997,35.19310918,34.93834449,34.35359992,34.52225376,34.31989049,34.75715959,35.45271557,35.52450600,36.14302122,34.91735033,34.64500013,34.79072903,34.39603081,35.20454048,34.94928739,34.26551828,34.53191950,34.32880199
10274.00000000,34.70408620,35.19061014,35.25464676,35.82718171,34.68333529,34.45314871,34.55378652,34.31730173,34.92110831,34.68444721,34.18887855,34.31882585,34.14601559,34.60347642,35.19999447,35.26430265,35.83848558,34.69161231,34.45928847,34.56214693,34.24321554,34.93108102,34.69367057,34.12212853,34.32633547,34.15259970
