time,HEADWATER,TAILWATER,GAGE_1
10000.00000000,-1042.7,-734.81,2254.2
10031.00000000,-1235.8,-880.15,2587.6
10060.00000000,-1548.5,-1113.8,3126.4
10091.00000000,-1920.2,-1384.3,3760.1
10121.00000000,-2217.4,-1590.4,4257.2
10152.00000000,-2372.0,-1681.7,4501.0
10182.00000000,-2324.3,-1622.7,4397.0
10213.00000000,-2079.6,-1421.1,3957.8
10244.00000000,-1710.1,-1137.9,3314.2
10274.00000000,-1323.5,-853.74,2652.3
10305.00000000,-1004.7,-633.88,2119.9
10335.00000000,-848.10,-540.44,1872.1
10366.00000000,-895.18,-596.93,1973.0
10397.00000000,-1126.8,-785.48,2386.8
10425.00000000,-1455.6,-1039.8,2961.5
10456.00000000,-1850.3,-1331.0,3638.4
10486.00000000,-2162.7,-1549.7,4163.1
10517.00000000,-2322.7,-1646.7,4417.8
10547.00000000,-2284.1,-1596.1,4331.0
10578.00000000,-2044.0,-1397.8,3899.5
10609.00000000,-1678.5,-1117.7,3263.0
10639.00000000,-1296.8,-837.18,2609.5
10670.00000000,-982.16,-620.67,2084.5
10700.00000000,-832.35,-531.63,1847.7
10731.00000000,-970.92,-656.46,2106.3
